Legions of Terror
Army of Muscles
Black Wolves
Doomed Gang
Blood Swords
Wizards Creation
Skull Crackers
Guild of Purity
Lurking Terror
Overlords
Jakes Guild
Lacking Concious
Freak Show
Golden Youth
Diamond Diabolos
Watsamatta
Messing Up Inc.
Dog and Bark
Red Army
Supreme Rulers
Rhinos Holy Defence
White Robes
Urban Lords
Sword Masters
Computer Scum
Hollow Cube
Milky Way
No Brains
Decapitation Crew
Grifters
Serious Trouble
Crying Fools
Nippes Turbo Crew
LSD Surfers
Cassidys Revenge
Tools of Destruction
Spears of Tears
Enfant Terribles
StormAxe
Serious Attitude
Violence Us!
Looters
Grave Pushers
Selwyns Servants
Roughabouts
Spear Scum
Infinte Infidels
Exit Life
Riff Raff
King Reginalds Troops
